Mã,Phần,Nhóm lớn,Nhóm nhỏ,Việc,Ưu tiên,Ưu tiên gốc,Chặn bởi,Sẵn sàng làm ngay,Trạng thái,Người làm,Ước lượng,Ghi chú
BE-036,Backend,1.4. Data model mới — theo module,"1.4.1. Wallet & Coin (P0 — không phụ thuộc D01/D02, làm ngay được)","Tạo src/lib/coinReasons.ts (hoặc mở rộng wallet-constants.ts) — object hằng số kiểu PERMISSIONS trong permissions.ts, thay cho string tự do (hiện code đã tự phát sinh thêm ""thread_reward"", ""reply_reward"" ngoài 4 giá trị comment trong schema — không kiểm soát tập trung).",P0,P0,"D01, D02, D05",Không,Bị chặn,,,
BE-037,Backend,1.4. Data model mới — theo module,"1.4.1. Wallet & Coin (P0 — không phụ thuộc D01/D02, làm ngay được)","src/lib/wallet.ts: sửa chữ ký spendCoins(userId, amount, reason, refId?, opts?: { sourceType, classId }) và addCoins(...) tương tự — giữ tương thích ngược (opts optional).",P0,P0,"D01, D02, D05",Không,Bị chặn,,,
BE-038,Backend,1.4. Data model mới — theo module,"1.4.1. Wallet & Coin (P0 — không phụ thuộc D01/D02, làm ngay được)","API mới GET /api/wallet/transactions?classId=&sourceType=&cursor= — lọc lịch sử theo lớp, dùng cho Gia sư Dashboard xem thu nhập lớp mình.",P0,P0,"D01, D02",Không,Bị chặn,,,
BE-039,Backend,1.4. Data model mới — theo module,"1.4.1. Wallet & Coin (P0 — không phụ thuộc D01/D02, làm ngay được)",Migrate dữ liệu cũ: CoinTransaction hiện có set sourceType = null (không suy đoán ngược từ reason cũ) — chỉ giao dịch mới trở đi có sourceType.,P0,P0,"D01, D02",Không,Bị chặn,,,
BE-040,Backend,1.4. Data model mới — theo module,1.4.2. Course/Lớp (P0 field không tranh cãi / P1 phần phụ thuộc D01-D02),"Course.capacity: Int? — sức chứa tối đa, null = không giới hạn.",P0,P0,"D01, D02",Không,Bị chặn,,,
BE-041,Backend,1.4. Data model mới — theo module,1.4.2. Course/Lớp (P0 field không tranh cãi / P1 phần phụ thuộc D01-D02),"Course.classStatus: String @default(""open"") — ""open"" | ""closed"" | ""paused"" (đặt tên khác status hiện có, vì status đang là Boolean cho ẩn/hiện công khai — tránh nhầm 2 khái niệm).",P0,P0,"D01, D02",Không,Bị chặn,,,
BE-042,Backend,1.4. Data model mới — theo module,1.4.2. Course/Lớp (P0 field không tranh cãi / P1 phần phụ thuộc D01-D02),"API PATCH /api/courses/[id] — nhận thêm 2 field trên, validate capacity không nhỏ hơn số Enrollment.status=""active"" hiện tại nếu đang giảm.",P0,P0,"D01, D02",Không,Bị chặn,,,
BE-043,Backend,1.4. Data model mới — theo module,1.4.2. Course/Lớp (P0 field không tranh cãi / P1 phần phụ thuộc D01-D02),"[CHỜ D01/D02] Nếu quyết định tách Class khỏi Course: viết migration script (backfill Class 1-1 từ Course hiện có, giữ nguyên id để không vỡ FK ở 15+ model đang tham chiếu courseId).",P0,P0,"D01, D02",Không,Bị chặn,,,
BE-044,Backend,1.4. Data model mới — theo module,1.4.3. Enrollment (P0 field / P1 tích hợp),"Enrollment.status: String @default(""active"") — ""pending_consent"" | ""active"" | ""suspended"".",P0,P0,,Có,Chưa làm,,,
BE-045,Backend,1.4. Data model mới — theo module,1.4.3. Enrollment (P0 field / P1 tích hợp),"Audit lại toàn bộ nơi đang query Enrollment để coi là ""đã ghi danh"" mà chưa lọc theo status — đã xác định qua 4 agent: courses/[id]/route.ts (hasAccess), exams/[id]/start, lessons/[id]/context, schedule/route.ts, deadlines/route.ts, courses/[id]/reviews (POST review yêu cầu enrolled), assignments/[id]/answer + /submit. Với mỗi nơi: đổi điều kiện enrollment tồn tại thành enrollment.status === ""active"".",P0,P0,,Có,Chưa làm,,,
BE-046,Backend,1.4. Data model mới — theo module,1.4.3. Enrollment (P0 field / P1 tích hợp),"Route tạo Enrollment mới (trong ClassInvite.redeem, 1.4.6): tự set ""pending_consent"" nếu học viên dưới ngưỡng tuổi (D04) và chưa có ParentConsent approved, ngược lại ""active"".",P0,P0,D04,Không,Bị chặn,,,
BE-047,Backend,1.4. Data model mới — theo module,1.4.3. Enrollment (P0 field / P1 tích hợp),"Khi ParentConsent chuyển approved: tự động Enrollment.status → ""active"" (nối vào POST /api/parent-consents/[token] đã có sẵn).",P0,P0,,Có,Chưa làm,,,
BE-048,Backend,1.4. Data model mới — theo module,1.4.4. TutorProfile (P1 — cần D02 định hình phạm vi),"Field trên User (khuyến nghị field phẳng, nhất quán với avatarBase64/facebookUrl hiện có, không tách model riêng): bio: String? @db.Text, subjects: String[], tutorVerified: Boolean @default(false), tutorVerifiedAt: DateTime?, tutorVerifiedBy: String?.",P1,P1,D02,Không,Bị chặn,,,
BE-049,Backend,1.4. Data model mới — theo module,1.4.4. TutorProfile (P1 — cần D02 định hình phạm vi),"API GET/PUT /api/users/me/tutor-profile — chỉ cho phép sửa khi adminRole === ""teacher"".",P1,P1,D02,Không,Bị chặn,,,
BE-050,Backend,1.4. Data model mới — theo module,1.4.4. TutorProfile (P1 — cần D02 định hình phạm vi),"API POST /api/auth/register-tutor — đăng ký làm gia sư (khác register hiện tại đang hard-code role: ""student""); set role: ""admin"", adminRole: ""teacher"", tutorVerified: false.",P1,P1,D02,Không,Bị chặn,,,
BE-051,Backend,1.4. Data model mới — theo module,1.4.4. TutorProfile (P1 — cần D02 định hình phạm vi),"API GET /api/admin/tutor-applications?status=pending — danh sách chờ duyệt, quyền admin_super/admin_content.",P1,P1,D02,Không,Bị chặn,,,
BE-052,Backend,1.4. Data model mới — theo module,1.4.4. TutorProfile (P1 — cần D02 định hình phạm vi),"API POST /api/admin/tutor-applications/[userId]/approve — set tutorVerified: true, tutorVerifiedBy, tutorVerifiedAt; logAction(""tutor.approve"", ...).",P1,P1,D02,Không,Bị chặn,,,
BE-053,Backend,1.4. Data model mới — theo module,1.4.4. TutorProfile (P1 — cần D02 định hình phạm vi),"API POST /api/admin/tutor-applications/[userId]/reject — kèm lý do, logAction(""tutor.reject"", ...).",P1,P1,D02,Không,Bị chặn,,,
BE-054,Backend,1.4. Data model mới — theo module,1.4.4. TutorProfile (P1 — cần D02 định hình phạm vi),"Xóa/ẩn nút ""Thêm Giáo viên"" ở /admin/quan-tri-vien sau khi 2 API trên hoạt động (giữ users/[id]/role cho việc nâng Content Admin/Super Admin, không dùng cho gán teacher nữa).",P1,P1,D02,Không,Bị chặn,,,
BE-055,Backend,1.4. Data model mới — theo module,"1.4.5. Subscription — gói theo lớp (P1 — cần D01, chờ Figma xác nhận field hiển thị theo files/07 mục 7)","Model mới Subscription: id, courseId, name: String, priceCoin: Int, durationDays: Int, active: Boolean @default(true), createdAt, updatedAt.",P1,P1,D01,Không,Bị chặn,,,
BE-056,Backend,1.4. Data model mới — theo module,"1.4.5. Subscription — gói theo lớp (P1 — cần D01, chờ Figma xác nhận field hiển thị theo files/07 mục 7)","Model mới SubscriptionPurchase: id, userId, subscriptionId, enrollmentId, purchasedPriceCoin: Int (snapshot giá lúc mua), startDate: DateTime, endDate: DateTime, status: String (""active""|""expired""|""cancelled""), createdAt.",P1,P1,D01,Không,Bị chặn,,,
BE-057,Backend,1.4. Data model mới — theo module,"1.4.5. Subscription — gói theo lớp (P1 — cần D01, chờ Figma xác nhận field hiển thị theo files/07 mục 7)","API GET/POST /api/courses/[id]/subscriptions — gia sư quản lý gói lớp mình, ownsResource check.",P1,P1,D01,Không,Bị chặn,,,
BE-058,Backend,1.4. Data model mới — theo module,"1.4.5. Subscription — gói theo lớp (P1 — cần D01, chờ Figma xác nhận field hiển thị theo files/07 mục 7)","API PATCH/DELETE /api/subscriptions/[id] — sửa/ngừng bán gói, ownsResource qua subscription.course.ownerId.",P1,P1,D01,Không,Bị chặn,,,
BE-059,Backend,1.4. Data model mới — theo module,"1.4.5. Subscription — gói theo lớp (P1 — cần D01, chờ Figma xác nhận field hiển thị theo files/07 mục 7)","API POST /api/subscriptions/[id]/purchase — transaction nguyên tử trong 1 prisma.$transaction: (1) spendCoins trừ đúng priceCoin, (2) upsert Enrollment (tạo mới hoặc gia hạn endDate nếu đã có), (3) tạo SubscriptionPurchase; rollback toàn bộ nếu 1 bước lỗi (đặc biệt: không đủ Coin → lỗi ngay từ bước 1, chưa đụng DB).",P1,P1,D01,Không,Bị chặn,,,
BE-060,Backend,1.4. Data model mới — theo module,"1.4.5. Subscription — gói theo lớp (P1 — cần D01, chờ Figma xác nhận field hiển thị theo files/07 mục 7)",API GET /api/users/me/subscriptions — học viên xem gói đã mua + hạn dùng.,P1,P1,D01,Không,Bị chặn,,,
BE-061,Backend,1.4. Data model mới — theo module,"1.4.5. Subscription — gói theo lớp (P1 — cần D01, chờ Figma xác nhận field hiển thị theo files/07 mục 7)","Cron mới cron/expire-subscriptions — quét SubscriptionPurchase.endDate < now() AND status=""active"", chuyển status=""expired"" + Enrollment.status=""suspended"" (giữ đúng R01 đã chốt: giữ xem/tải, khoá hoạt động mới, không xoá dữ liệu).",P1,P1,"D01, D10",Không,Bị chặn,,,
BE-062,Backend,1.4. Data model mới — theo module,"1.4.5. Subscription — gói theo lớp (P1 — cần D01, chờ Figma xác nhận field hiển thị theo files/07 mục 7)",logAction cho purchase/expire.,P1,P1,D01,Không,Bị chặn,,,
BE-063,Backend,1.4. Data model mới — theo module,1.4.6. ClassInvite — lời mời lớp (P1 — cần D01/D02 nhưng không cần chờ 1.4.5 xong),"Model mới: id, courseId, code: String @unique, maxUses: Int?, usedCount: Int @default(0), expiresAt: DateTime?, revoked: Boolean @default(false), createdBy: String, createdAt.",P1,P1,"D01, D02",Không,Bị chặn,,,
BE-064,Backend,1.4. Data model mới — theo module,1.4.6. ClassInvite — lời mời lớp (P1 — cần D01/D02 nhưng không cần chờ 1.4.5 xong),"API POST /api/courses/[id]/invites — gia sư tạo, sinh code bằng randomBytes rút gọn (dễ đọc/gõ tay, vd 8 ký tự base32) khác token 32-byte hex của ParentConsent (mục đích khác — mã này người dùng phải tự nhập).",P1,P1,"D01, D02",Không,Bị chặn,,,
BE-065,Backend,1.4. Data model mới — theo module,1.4.6. ClassInvite — lời mời lớp (P1 — cần D01/D02 nhưng không cần chờ 1.4.5 xong),"API GET /api/courses/[id]/invites — danh sách lời mời của lớp, ownsResource check.",P1,P1,"D01, D02",Không,Bị chặn,,,
BE-066,Backend,1.4. Data model mới — theo module,1.4.6. ClassInvite — lời mời lớp (P1 — cần D01/D02 nhưng không cần chờ 1.4.5 xong),"API DELETE /api/invites/[id] — thu hồi (revoked: true), không xóa hẳn (giữ lịch sử).",P1,P1,"D01, D02",Không,Bị chặn,,,
BE-067,Backend,1.4. Data model mới — theo module,1.4.6. ClassInvite — lời mời lớp (P1 — cần D01/D02 nhưng không cần chờ 1.4.5 xong),"API POST /api/invites/[code]/redeem — public/session học viên: validate !revoked, expiresAt còn hạn, usedCount < maxUses (nếu có giới hạn); atomic updateMany tăng usedCount (tránh race 2 học viên cùng dùng mã ở giây cuối vượt maxUses), rồi tạo Enrollment theo logic 1.4.3.",P1,P1,"D01, D02",Không,Bị chặn,,,
BE-068,Backend,1.4. Data model mới — theo module,1.4.6. ClassInvite — lời mời lớp (P1 — cần D01/D02 nhưng không cần chờ 1.4.5 xong),logAction cho tạo/thu hồi/redeem.,P1,P1,"D01, D02",Không,Bị chặn,,,
BE-069,Backend,1.4. Data model mới — theo module,1.4.7. Thread theo lớp (P1 — theo G5.01),"Thread.courseId: String? — nullable, bài cũ giữ null (= ""cộng đồng chung""), bài mới có thể gắn lớp.",P1,P1,,Có,Chưa làm,,,
BE-070,Backend,1.4. Data model mới — theo module,1.4.7. Thread theo lớp (P1 — theo G5.01),"GET /api/community/threads?courseId= — thêm filter, mặc định không truyền = giữ hành vi cũ (toàn hệ thống) trong giai đoạn chuyển tiếp.",P1,P1,,Có,Chưa làm,,,
BE-071,Backend,1.4. Data model mới — theo module,1.4.7. Thread theo lớp (P1 — theo G5.01),"POST /api/community/threads — nhận courseId tùy chọn, validate người đăng phải Enrollment.status=""active"" hoặc là Course.ownerId của lớp đó nếu có gắn courseId.",P1,P1,,Có,Chưa làm,,,
BE-072,Backend,1.4. Data model mới — theo module,1.4.7. Thread theo lớp (P1 — theo G5.01),"admin/thread-reports, admin/answer-reports — thêm nhánh: nếu report thuộc thread có courseId, cho phép Course.ownerId tự xử lý (không cần MANAGE_COMMUNITY toàn hệ thống) — dùng ownsResource qua report.thread.course.ownerId.",P1,P1,,Có,Chưa làm,,,
BE-073,Backend,1.4. Data model mới — theo module,1.4.7. Thread theo lớp (P1 — theo G5.01),Cập nhật UI /cong-dong thêm bộ chọn phạm vi (xem 2.2.3).,P1,P1,,Có,Chưa làm,,,
BE-074,Backend,1.4. Data model mới — theo module,1.4.8. Doanh thu (P1 — sau khi 1.4.1 xong),"Viết lại admin/analytics/route.ts: nguồn dữ liệu chính chuyển từ Enrollment sang CoinTransaction where sourceType=""class_subscription"", join Course qua classId.",P1,P1,,Có,Chưa làm,,,
BE-075,Backend,1.4. Data model mới — theo module,1.4.8. Doanh thu (P1 — sau khi 1.4.1 xong),"Thêm groupBy Course.ownerId cho view ""doanh thu theo gia sư"" (dữ liệu quan hệ đã có sẵn, trước giờ chưa dùng).",P1,P1,,Có,Chưa làm,,,
BE-076,Backend,1.4. Data model mới — theo module,1.4.8. Doanh thu (P1 — sau khi 1.4.1 xong),"API mới GET /api/users/me/revenue?from=&to= — cho Gia sư Dashboard, chỉ trả doanh thu các lớp ownerId = session.userId.",P1,P1,,Có,Chưa làm,,,
BE-077,Backend,1.4. Data model mới — theo module,1.4.8. Doanh thu (P1 — sau khi 1.4.1 xong),Giữ song song cách tính cũ (Enrollment×price) tối thiểu 1 giai đoạn để đối chiếu số liệu không bị nhảy đột ngột khi chuyển đổi — quyết định thời điểm cắt hẳn.,P0,P1,,Có,Chưa làm,,,
BE-078,Backend,1.5. Dọn/thay các luồng Nhóm A còn sót (P1 — sau khi 1.3 và 1.4.6 có hướng),1.4.8. Doanh thu (P1 — sau khi 1.4.1 xong),"admin/students POST — tách tham số courseId khỏi payload tạo tài khoản; nếu cần tạo kèm enrollment cho ca đặc biệt (học bổng, comp), dùng thẳng ClassInvite.redeem nội bộ thay vì prisma.enrollment.create trực tiếp.",P0,P1,D13,Không,Bị chặn,,,
BE-079,Backend,1.5. Dọn/thay các luồng Nhóm A còn sót (P1 — sau khi 1.3 và 1.4.6 có hướng),1.4.8. Doanh thu (P1 — sau khi 1.4.1 xong),"CartItem/useCart — theo D01: (a) tái dùng làm giỏ hàng thật (mua nhiều gói/lớp 1 lượt qua subscriptions/[id]/purchase hàng loạt), hoặc (b) đổi ý nghĩa thành ""quan tâm/theo dõi lớp"" (bỏ hẳn khái niệm giỏ hàng).",P1,P1,D01,Không,Bị chặn,,,
BE-080,Backend,1.5. Dọn/thay các luồng Nhóm A còn sót (P1 — sau khi 1.3 và 1.4.6 có hướng),1.4.8. Doanh thu (P1 — sau khi 1.4.1 xong),"ExamGuestAccess — theo quyết định 1.3: giữ nguyên (tính năng ngách hợp lệ) / xóa model + 3 route liên quan / thay bằng ""mua vé thi lẻ"" qua Coin (mô hình giống Subscription nhưng cho Exam).",P1,P1,D11,Không,Bị chặn,,,
BE-081,Backend,1.5. Dọn/thay các luồng Nhóm A còn sót (P1 — sau khi 1.3 và 1.4.6 có hướng),1.4.8. Doanh thu (P1 — sau khi 1.4.1 xong),"SalesLead/SalesMessage — theo quyết định 1.3: nếu bỏ, cần báo trước cho service Python ngoài đang ghi trực tiếp qua psycopg2; nếu đổi mục đích, xác định lại field leadScore/stage có còn ý nghĩa không.",P0,P1,D12,Không,Bị chặn,,,
BE-082,Backend,1.6. AuditLog — mở rộng phạm vi (P2),1.4.8. Doanh thu (P1 — sau khi 1.4.1 xong),"Đã code: parent_link.verify/parent_link.revoke, parent_consent.approved/rejected/expired.",P2,P2,,—,Xong,,,
BE-083,Backend,1.6. AuditLog — mở rộng phạm vi (P2),1.4.8. Doanh thu (P1 — sau khi 1.4.1 xong),Nối vào CoinTransaction tạo mới — đặc biệt class_subscription (mua gói) và refund (hoàn tiền).,P2,P2,,Có,Chưa làm,,,
BE-084,Backend,1.6. AuditLog — mở rộng phạm vi (P2),1.4.8. Doanh thu (P1 — sau khi 1.4.1 xong),"Nối vào chấm điểm tự luận (AssignmentAnswer.pointsAwarded, ExamAnswer.pointsAwarded khi giáo viên sửa tay).",P2,P2,,Có,Chưa làm,,,
BE-085,Backend,1.6. AuditLog — mở rộng phạm vi (P2),1.4.8. Doanh thu (P1 — sau khi 1.4.1 xong),"Nối vào users/[id]/role (đổi quyền admin) và admin/tutor-applications/* (duyệt/từ chối gia sư, đã có ở 1.4.4).",P2,P2,,Có,Chưa làm,,,
BE-086,Backend,1.6. AuditLog — mở rộng phạm vi (P2),1.4.8. Doanh thu (P1 — sau khi 1.4.1 xong),Nối vào ClassInvite tạo/thu hồi/redeem (đã có ở 1.4.6).,P2,P2,,Có,Chưa làm,,,
FE-087,Frontend,2.1. Thiết kế hệ thống (Design System) — làm trước tiên (P0),2.1.1. Design tokens,"Color tokens: primary (hiện #0068FF), semantic (success/warning/danger/info — hiện dùng rải rác #16a34a/#dc2626/#fef3c7 không tập trung), neutral scale (thay #e5e3df/#787671/#a4a097/#f6f5f4 rời rạc bằng thang xám có tên).",P0,P0,,Có,Chưa làm,,,
FE-088,Frontend,2.1. Thiết kế hệ thống (Design System) — làm trước tiên (P0),2.1.1. Design tokens,Spacing scale + radius scale (hiện rounded-xl/rounded-2xl/rounded-3xl dùng lẫn lộn không theo quy tắc rõ).,P0,P0,,Có,Chưa làm,,,
FE-089,Frontend,2.1. Thiết kế hệ thống (Design System) — làm trước tiên (P0),2.1.1. Design tokens,Typography scale (font-size/weight/line-height cho heading/body/caption).,P0,P0,,Có,Chưa làm,,,
FE-090,Frontend,2.1. Thiết kế hệ thống (Design System) — làm trước tiên (P0),2.1.1. Design tokens,"Quyết định có làm dark mode không (hiện tại: không có) — nếu có, cần cặp token light/dark ngay từ đầu, không thêm sau.",P0,P0,,Có,Chưa làm,,,
FE-091,Frontend,2.1. Thiết kế hệ thống (Design System) — làm trước tiên (P0),2.1.2. Component chuẩn dùng chung (đang copy-paste ở ≥15/20 trang Admin),"Table: props columns, data, loading, emptyState, pagination{page,total,onPageChange}, onRowClick, filterSlot — thay toàn bộ bảng tự viết ở admin/hoc-sinh, admin/khoa-hoc, admin/thi-thu, admin/tin-tuc, admin/danh-gia, admin/quan-tri-vien, admin/sales-leads...",P0,P0,,Có,Chưa làm,,,
FE-092,Frontend,2.1. Thiết kế hệ thống (Design System) — làm trước tiên (P0),2.1.2. Component chuẩn dùng chung (đang copy-paste ở ≥15/20 trang Admin),"Drawer: props open, title, onClose, children, footerActions[], animation trượt phải chuẩn (đang mỗi trang tự viết transform: translateX).",P0,P0,,Có,Chưa làm,,,
FE-093,Frontend,2.1. Thiết kế hệ thống (Design System) — làm trước tiên (P0),2.1.2. Component chuẩn dùng chung (đang copy-paste ở ≥15/20 trang Admin),"Modal xác nhận: props open, title, message, confirmLabel, danger?, onConfirm, onCancel — thay confirm() trình duyệt (dùng ở admin/danh-gia) và modal tự viết ở nhiều nơi khác.",P0,P0,,Có,Chưa làm,,,
FE-094,Frontend,2.1. Thiết kế hệ thống (Design System) — làm trước tiên (P0),2.1.2. Component chuẩn dùng chung (đang copy-paste ở ≥15/20 trang Admin),"Toast: 1 provider toàn cục (Context + hook useToast()), hợp nhất AdminToast, toast tự viết trong student/ho-so, admin/hoc-sinh, và các trang guest.",P0,P0,,Có,Chưa làm,,,
FE-095,Frontend,2.1. Thiết kế hệ thống (Design System) — làm trước tiên (P0),2.1.2. Component chuẩn dùng chung (đang copy-paste ở ≥15/20 trang Admin),"EmptyState: props icon, title, description, actionLabel?, onAction?.",P0,P0,,Có,Chưa làm,,,
FE-096,Frontend,2.1. Thiết kế hệ thống (Design System) — làm trước tiên (P0),2.1.2. Component chuẩn dùng chung (đang copy-paste ở ≥15/20 trang Admin),"ErrorState: props message, onRetry.",P0,P0,,Có,Chưa làm,,,
FE-097,Frontend,2.1. Thiết kế hệ thống (Design System) — làm trước tiên (P0),2.1.2. Component chuẩn dùng chung (đang copy-paste ở ≥15/20 trang Admin),"Skeleton: variants text | card | table-row | avatar | stat-tile (đã có Skeleton.tsx cơ bản, cần mở rộng variant).",P0,P0,,Có,Chưa làm,,,
FE-098,Frontend,2.2. Khu vực Guest/Public,"2.2.1. Giữ nguyên chức năng, chỉ redesign giao diện (P1)","/, /bang-xep-hang, /thi-thu, /tin-tuc, /tin-tuc/[slug], /chinh-sach, /dang-nhap, /quen-mat-khau, /dat-lai-mat-khau, /xac-thuc-email, /xac-nhan-phu-huynh — dùng lại chức năng đã liệt kê chi tiết ở files/08 mục 3, chỉ đổi UI theo 2.1.",P1,P1,,Có,Chưa làm,,,
